instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,
20,20,87.49613315,20,90,88.61433434,20,160,97.61616116,20,210,106.5383985,20,230,111.6598167,20,250,119.5780605,20,270,125.3663864,20,290,137.2736244,20,310,154.0701758,20,330,183.7062813,20,350,226.9260093,20,370,312.0255393,20,381.3333333,1819.966711,20,396,4611.985752,20,410.6666667,17192.98186,20,425.3333333,28915.47495,20,440,24020.75726,
19,19,78.77795112,19,85.5,90.45386142,19,152,97.50739712,19,199.5,105.5506454,19,218.5,112.2476714,19,237.5,117.970596,19,256.5,127.467721,19,275.5,140.9232452,19,294.5,154.7548322,19,313.5,235.80939,19,332.5,224.7599623,19,351.5,377.0492223,19,362.2666667,560.678905,19,376.2,719.860558,19,390.1333333,4642.779794,19,404.0666667,3878.43017,19,418,3849.032036,
18,18,80.65494547,18,81,87.8172759,18,144,96.76720521,18,189,106.5448481,18,207,113.0239284,18,225,116.5344064,18,243,128.8212847,18,261,138.585362,18,279,151.2599655,18,297,177.6191816,18,315,225.7363379,18,333,281.3471715,18,343.2,346.3055498,18,356.4,566.6794367,18,369.6,896.7783101,18,382.8,3800.702057,18,396,6607.000716,
17,17,80.16623991,17,76.5,87.26978938,17,136,95.86377072,17,178.5,104.9789016,17,195.5,111.275991,17,212.5,116.705478,17,229.5,124.6523366,17,246.5,134.44894,17,263.5,152.9298271,17,280.5,170.2797053,17,297.5,199.9754268,17,314.5,281.6903443,17,324.1333333,341.7400426,17,336.6,500.572132,17,349.0666667,1258.457572,17,361.5333333,2802.01913,17,374,4593.810354,
16,16,80.24541284,16,72,87.24804621,16,128,97.28212227,16,168,107.4326549,16,184,108.8660215,16,200,117.6999477,16,216,124.0667784,16,232,139.7141756,16,248,152.655918,16,264,163.6808626,16,280,207.1742116,16,296,256.0526429,16,305.0666667,291.3096486,16,316.8,417.5146788,16,328.5333333,629.3785544,16,340.2666667,1372.838165,16,352,5192.375742,
15,15,85.93266067,15,67.5,87.8533243,15,120,97.14502165,15,157.5,105.2734789,15,172.5,111.6123174,15,187.5,118.2838973,15,202.5,126.989348,15,217.5,137.0136151,15,232.5,147.1267346,15,247.5,164.4655316,15,262.5,197.3496777,15,277.5,243.4384288,15,286,286.5473782,15,297,203.8857484,15,308,591.1048943,15,319,1898.878525,15,330,4142.936926,
14,14,79.43563654,14,63,87.54481145,14,112,96.91088177,14,147,104.0643767,14,161,109.9386694,14,175,116.4498814,14,189,128.1415916,14,203,135.9694164,14,217,141.0302093,14,231,156.89753,14,245,176.9803759,14,259,216.5455023,14,266.9333333,245.8170272,14,277.2,351.0292924,14,287.4666667,510.2087524,14,297.7333333,1014.930178,14,308,2927.265717,
13,13,78.48884222,13,58.5,87.60753305,13,104,96.59446621,13,136.5,103.8067218,13,149.5,109.5936208,13,162.5,115.381004,13,175.5,119.6214529,13,188.5,133.7822063,13,201.5,141.9383525,13,214.5,156.1049515,13,227.5,176.9512988,13,240.5,220.3241781,13,247.8666667,245.0921883,13,257.4,329.9085264,13,266.9333333,421.6699431,13,276.4666667,839.2792099,13,286,1438.278925,
12,12,78.85774059,12,54,87.86660681,12,96,95.98411987,12,126,106.5186855,12,138,110.2415657,12,150,114.1728894,12,162,129.590026,12,174,135.0920417,12,186,141.9291876,12,198,161.5779543,12,210,184.0364501,12,222,218.4763047,12,228.8,265.0921883,12,237.6,319.9085264,12,246.4,447.6699431,12,255.2,842.2792099,12,264,1638.278925,
11,11,78.02461059,11,49.5,87.31963406,11,88,98.89144804,11,115.5,104.6655926,11,126.5,109.8845647,11,137.5,113.3226601,11,148.5,119.1369485,11,159.5,129.0114044,11,170.5,139.0659422,11,181.5,149.4746195,11,192.5,167.7065752,11,203.5,194.6311018,11,209.7333333,1258.211329,11,217.8,4179.283355,11,225.8666667,15068.80734,11,233.9333333,32011.98996,11,242,50751.376,
10,10,81.3851257,10,45,87.75379752,10,80,95.26925609,10,105,104.8995217,10,115,109.8486426,10,125,113.0915232,10,135,120.9151779,10,145,131.7219017,10,155,136.8370881,10,165,149.560879,10,175,178.1585036,10,185,194.9292629,10,190.6666667,926.1298374,10,198,3891.873367,10,205.3333333,12719.16557,10,212.6666667,30884.87699,10,220,51983.1931,
9,9,80.0652819,9,40.5,86.85923357,9,72,95.8124079,9,94.5,104.4676316,9,103.5,108.6626247,9,112.5,114.3071906,9,121.5,124.0959499,9,130.5,127.5605799,9,139.5,144.8744982,9,148.5,200.4130513,9,157.5,249.9872839,9,166.5,491.9184447,9,171.6,384.1490638,9,178.2,1239.70896,9,184.8,7873.013791,9,191.4,23034.35914,9,198,44902.4662,
8,8,81.05877483,8,36,87.13195343,8,64,95.39635073,8,84,108.684724,8,92,115.818788,8,100,122.4118041,8,108,134.5341245,8,116,151.2626688,8,124,169.3429,8,132,206.4285139,8,140,230.5491645,8,148,381.642249,8,152.5333333,14035.51899,8,158.4,24503.34444,8,164.2666667,26103.15492,8,170.1333333,36515.88751,8,176,54562.60668,
7,7,83.69493131,7,31.5,91.10191619,7,56,98.71586263,7,73.5,110.6199422,7,80.5,116.0258152,7,87.5,124.1730048,7,94.5,131.9745325,7,101.5,153.0089792,7,108.5,163.7409846,7,115.5,180.8829099,7,122.5,249.8195524,7,129.5,341.7216487,7,133.4666667,469.4637442,7,138.6,1449.227084,7,143.7333333,4691.397929,7,148.8666667,16302.38861,7,154,38080.9418,
6,6,83.59615385,6,27,90.22275288,6,48,100.8547936,6,63,112.6670555,6,69,117.1781319,6,75,126.9249138,6,81,138.049557,6,87,148.4434266,6,93,176.1546739,6,99,191.0166544,6,105,229.3415531,6,111,371.5031409,6,114.4,415.0629473,6,118.8,1330.650746,6,123.2,4995.55419,6,127.6,16665.36988,6,132,34551.00562,
5,5,84.08139535,5,22.5,89.4787186,5,40,98.93719341,5,52.5,108.2845642,5,57.5,117.87789,5,62.5,125.4302434,5,67.5,128.4293619,5,72.5,152.9103656,5,77.5,175.7554196,5,82.5,184.3021763,5,87.5,217.9488622,5,92.5,306.9803571,5,95.33333333,649.2931865,5,99,686.0985478,5,102.6666667,1883.771372,5,106.3333333,7421.081621,5,110,22391.78934,
4,4,85.88107203,4,18,92.46614583,4,32,100.2080117,4,42,116.8173384,4,46,119.7052789,4,50,124.0706693,4,54,133.75094,4,58,146.279661,4,62,167.9484844,4,66,184.3415115,4,70,231.7000414,4,74,268.2564898,4,76.26666667,341.4316593,4,79.2,436.9391223,4,82.13333333,2614.289757,4,85.06666667,8494.303651,4,88,19551.1098,
3,3,89.82850521,3,13.5,86.87629387,3,24,94.13338789,3,31.5,100.652752,3,34.5,102.5926829,3,37.5,104.2473203,3,40.5,109.0222276,3,43.5,112.402984,3,46.5,114.5391653,3,49.5,122.5779041,3,52.5,128.3678493,3,55.5,140.6314215,3,57.2,438.2974429,3,59.4,691.1854241,3,61.6,1034.398908,3,63.8,4535.235757,3,66,14707.81962,
2,2,88.46678322,2,9,85.86189258,2,16,86.36312964,2,21,90.29767068,2,23,91.37597011,2,25,93.26974279,2,27,92.66658428,2,29,98.77502511,2,31,96.03746337,2,33,100.0226476,2,35,103.3676167,2,37,103.0277926,2,38.13333333,411.504991,2,39.6,573.2541112,2,41.06666667,915.1837369,2,42.53333333,3154.856784,2,44,13907.15743,
1,1,99.03021148,1,4.5,83.95560572,1,8,84.16773676,1,10.5,83.74872935,1,11.5,85.35466977,1,12.5,86.77762876,1,13.5,88.21894484,1,14.5,86.44550193,1,15.5,89.68957397,1,16.5,88.28822706,1,17.5,88.68486116,1,18.5,91.55571557,1,19.06666667,634.8031523,1,19.8,638.6129676,1,20.53333333,625.7883657,1,21.26666667,1847.988854,1,22,3075.681825,